id,name,ciqual_const_code,ciqual_const_name_eng,ciqual_const_name_fr,ciqual_unit,calnut_const_code,calnut_const_name,calnut_unit,off_id,count,template,nnr2023_id,nutrient_type,disabled,comments
energy_kj,Energy,327,"Energy, Regulation EU No 1169/2011 (kJ/100g)","Energie, Règlement UE N° 1169/2011 (kJ/100 g)",kj,,,,,,,,macro,TRUE,
energy_kcal,Energy,328,"Energy, Regulation EU No 1169/2011 (kcal/100g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)",kcal,,,,,,,,macro,TRUE,
energy_fibre_kj,"Energy, N x Jones' factor, with fibres",332,"Energy, N x Jones' factor, with fibres (kJ/100g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)",kj,332,nrj,kj,energy-kj,362551,TRUE,,macro,TRUE,
energy_fibre_kcal,"Energy, N x Jones' factor, with fibres",333,"Energy, N x Jones' factor, with fibres (kcal/100g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",kcal,333,nrj,kcal,energy-kcal,2670928,TRUE,,macro,,
water,Water,400,Water (g/100g),Eau (g/100 g),g,400,eau,g,,,,,macro,,
protein,Protein,25000,Protein (g/100g),"Protéines, N x facteur de Jones (g/100 g)",g,25000,proteines,g,proteins,2692193,TRUE,,macro,,
protein_crude,"Protein, crude, N x 6.25",25003,"Protein, crude, N x 6.25 (g/100g)","Protéines, N x 6.25 (g/100 g)",g,,,,,,,,macro,TRUE,
carbohydrate,Carbohydrate,31000,Carbohydrate (g/100g),Glucides (g/100 g),g,31000,glucides,g,carbohydrates,2691662,TRUE,,macro,,
fat,Fat,40000,Fat (g/100g),Lipides (g/100 g),g,40000,lipides,g,fat,2686998,TRUE,,macro,,
sugars,Sugars,32000,Sugars (g/100g),Sucres (g/100 g),g,32000,sucres,g,sugars,2590454,TRUE,,macro,,
fructose,Fructose,32210,fructose (g/100g),Fructose (g/100 g),g,32210,fructose,g,fructose,93,,,macro,,
galactose,Galactose,32220,galactose (g/100g),Galactose (g/100 g),g,32220,galactose,g,galactose,9,,,macro,,
glucose,Glucose,32250,glucose (g/100g),Glucose (g/100 g),g,32250,glucose,g,glucose,130,,,macro,,
lactose,Lactose,32410,lactose (g/100g),Lactose (g/100 g),g,32410,lactose,g,lactose,1595,TRUE,,macro,,
maltose,Maltose,32430,maltose (g/100g),Maltose (g/100 g),g,32430,maltose,g,maltose,112,,,macro,,
sucrose,Sucrose,32480,sucrose (g/100g),Saccharose (g/100 g),g,32480,saccharose,g,sucrose,207,,,macro,,Saccharose name in calnut seems outdated
starch,Starch,33110,Starch (g/100g),Amidon (g/100 g),g,33110,amidon,g,starch,760,TRUE,,macro,,
fiber,Fibres,34100,Fibres (g/100g),Fibres alimentaires (g/100 g),g,34100,fibres,g,fiber,1276352,TRUE,,macro,,
polyols,Polyols,34000,Polyols (g/100g),Polyols totaux (g/100 g),g,34000,polyols,g,polyols,6623,TRUE,,macro,,
ash,Ash,10000,Ash (g/100g),Cendres (g/100 g),g,,,,,,,,macro,TRUE,
alcohol,Alcohol,60000,Alcohol (g/100g),Alcool (g/100 g),g,60000,alcool,g,alcohol,34684,TRUE,,macro,,
organic_acids,Organic acids,65000,Organic acids (g/100g),Acides organiques (g/100 g),g,65000,acides_organiques,g,,,,,micro,TRUE,
saturated_fat,Saturated fat,40302,FA saturated (g/100g),AG saturés (g/100 g),g,40302,ags,g,saturated-fat,2551268,TRUE,,macro,,
monounsaturated_fat,Monounsaturated fat,40303,FA mono (g/100g),AG monoinsaturés (g/100 g),g,40303,agmi,g,monounsaturated-fat,57855,TRUE,,macro,,
polyunsaturated_fat,Polyunsaturated fat,40304,FA poly (g/100g),AG polyinsaturés (g/100 g),g,40304,agpi,g,polyunsaturated-fat,57577,TRUE,,macro,,
fa_04_0,FA 4:0,40400,FA 4:0 (g/100g),"AG 4:0, butyrique (g/100 g)",g,40400,ag_04_0,g,,,,,micro,TRUE,
fa_06_0,FA 6:0,40600,FA 6:0 (g/100g),"AG 6:0, caproïque (g/100 g)",g,40600,ag_06_0,g,,,,,micro,TRUE,
fa_08_0,FA 8:0,40800,FA 8:0 (g/100g),"AG 8:0, caprylique (g/100 g)",g,40800,ag_08_0,g,,,,,micro,TRUE,
