nutrient,unit,RI_or_AI,value_males,value_females,value_upper_intake
Biotin,µg,AI,40.0,40.0,
Boron,mg,,,,10.0
Calcium,mg,RI,950.0,950.0,2500.0
Choline,mg,AI,400.0,400.0,
Copper,mg,RI,0.9,0.9,5.0
Fluoride,µg,AI,3.7,3.2,7000.0
Folate,µg,RI,330.0,330.0,
Folic acid (synthetic),µg,,,,1000.0
Iodine,µg,AI,150.0,150.0,600.0
Iron,mg,RI,9.0,15.0,60.0
Magnesium,mg,AI,350.0,300.0,
Manganese,mg,AI,3.0,3.0,
Molybdenum,µg,AI,65.0,65.0,600.0
Niacin,NE,RI,18.0,14.0,
Nicotinamide,mg,,,,900.0
Nicotinic acid,mg,,,,10.0
Pantothenic acid,mg,AI,5.0,5.0,
Phosphorus,mg,AI,520.0,520.0,3000.0
Potassium,mg,AI,3500.0,3500.0,
Riboflavin,mg,RI,1.6,1.6,
Selenium,µg,AI,90.0,75.0,255.0
Sodium,g,AI,1.5,1.5,
Thiamin,mg,RI,1.1,0.9,
Vitamin A,RE,RI,800.0,700.0,3000.0
Vitamin B12,µg,AI,4.0,4.0,
Vitamin B6,mg,RI,1.8,1.6,12.0
Vitamin C,mg,RI,110.0,95.0,
Vitamin D,µg,RI,10.0,10.0,100.0
Vitamin E,mg,AI,16.5,15.0,300.0
Vitamin K,µg,AI,75.0,65.0,
Zinc,mg,RI,12.7,9.7,25.0
