Age group,Phos­phorusmg,Potas­siummg,Magne­siummg,Iodineµg,Sele­niumµg,Fluoridemg,Manga­nesemg,Molyb­denumµg
≤6 mo,,320,20,64-72,10,,9.6 µg,
7-11 mo,140,600,64,64-72,15,0.4,0.02-0.4,7
CHILDREN
1-3 y,200,700,136,80,15,0.5,0.5,10
4-6 y,350,900,184,80,20,0.8,0.7,16
7-10 y,350,1450,184,80,35,1.2,1.1,24
FEMALES
11-14 y,510,1900,200,100,50,1.9,1.8,38
15-17 y,510,2250,200,100,55,2.3,2.2,48
18-24 y,440,2800,240,120,60,2.6,2.4,52
25-50 y,420,2800,240,120,60,2.6,2.4,52
51-70 y,420,2800,240,120,60,2.5,2.4,52
>70 y,420,2800,240,120,60,2.4,2.4,52
Preg­nant,430,2800,240,160,75,2.5,2.5,55
Lactat­ing,430,2800,240,160,70,2.5,2.3,51
MALES
11-14 y,510,2050,240,100,50,1.9,1.6,34
15-17 y,510,2700,240,110,70,2.6,2.1,46
18-24 y,440,2800,280,120,70,3.0,2.4,52
25-50 y,420,2800,280,120,70,3.0,2.4,52
51-70 y,420,2800,280,120,70,2.9,2.4,52
>70 y,420,2800,280,120,70,2.8,2.4,52
