Agegroup,Vitamin Eα-TE,Vitamin Kµg,Pantothenic acidmg,Biotinµg,Vitamin B12µg,Cholinemg
≤6 mo,4,,2,4,0.4,120
7-11 mo,5,10,3,5,1.5,170
CHILDREN
1-3 y,7,15,4,20,1.5,150
4-6 y,8,20,4,25,1.7,170
7-10 y,9,30,4,25,2.5,250
FEMALES
11-14 y,10,45,5,35,3.5,350
15-17 y,11,60,5,35,4,390
18-24 y,10,65,5,40,4,400
25-50 y,10,65,5,40,4,400
51-70 y,9,60,5,40,4,400
>70 y,9,60,5,40,4,400
Pregnant,11,80,5,40,4.5,480
Lactating,12,65,7,45,5.5,520
MALES
11-14 y,11,50,5,35,3,330
15-17 y,12,65,5,35,4,400
18-24 y,11,75,5,40,4,400
25-50 y,11,75,5,40,4,400
51-70 y,11,70,5,40,4,400
>70 y,11,70,5,40,4,400
